id,prompt_en,prompt_zh,prompt_ms,prompt_ta,explanationYes_en,explanationYes_zh,explanationYes_ms,explanationYes_ta,explanationNo_en,explanationNo_zh,explanationNo_ms,explanationNo_ta
11,"I rarely eat high-fiber foods like fruits, vegetables, or whole grains.",我很少吃高纤维食物，如水果、蔬菜或全谷物。,"Saya jarang makan makanan tinggi serat seperti buah-buahan, sayur-sayuran, atau bijirin penuh.",பழங்கள்- காய்கறிகள் அல்லது முழு தானியங்கள் போன்ற அதிக நார்ச்சத்து உணவுகளை அரிதாகவே சாப்பிடுகிறேன்.,Fiber is crucial for a healthy colon. It helps move waste through your system.,纤维对健康的结肠至关重要。它有助于将废物通过您的系统移动。,Serat adalah penting untuk kolon yang sihat. Ia membantu menggerakkan sisa melalui sistem anda.,நார்ச்சத்து ஆரோக்கியமான பெருங்குடலுக்கு முக்கியமானது. கழிவுகளை உங்கள் அமைப்பு வழியாக நகர்த்த உதவுகிறது.,"Great job! Eating plenty of fiber-rich foods like fruits, vegetables, and whole grains protects your colon.",做得好！多吃水果、蔬菜和全谷物等高纤维食物可以保护您的结肠。,"Bagus! Makan banyak makanan tinggi serat seperti buah-buahan, sayur-sayuran, dan bijirin penuh melindungi kolon anda.","நல்லது! பழங்கள், காய்கறிகள் மற்றும் முழு தானியங்கள் போன்ற நார்ச்சத்து நிறைந்த உணவுகள் உங்கள் பெருங்குடலை பாதுகாக்கின்றன."
12,I am currently overweight.,我目前超重。,Saya kini mempunyai berat badan berlebihan.,நான் தற்போது அதிக எடையுடன் இருக்கிறேன்.,Being overweight or obese increases your risk of developing colorectal cancer.,超重或肥胖会增加患结直肠癌的风险。,Berat badan berlebihan atau obes meningkatkan risiko anda untuk menghidap kanser kolorektal.,அதிக எடை அல்லது உடல் பருமன் பெருங்குடல் புற்றுநோய் உருவாகும் ஆபத்தை அதிகரிக்கிறது.,Great! Maintaining a healthy weight significantly lowers your risk of colorectal and other cancers.,很好！保持健康体重可以显著降低结直肠癌和其他癌症的风险。,Bagus! Mengekalkan berat badan yang sihat mengurangkan risiko kanser kolorektal dan kanser lain dengan ketara.,நல்லது! ஆரோக்கியமான எடையை பராமரிப்பது பெருங்குடல் புற்றுநோய் மற்றும் பிற புற்றுநோய்களின் ஆபத்தை கணிசமாக குறைக்கிறது.
13,I have been diagnosed with Type 2 diabetes.,我被诊断出患有2型糖尿病。,Saya telah didiagnosis dengan diabetes Jenis 2.,வகை 2 நீரிழிவு நோய் இருப்பதாக கண்டறியப்பட்டது.,Type 2 diabetes has been linked to an increased risk of colorectal cancer.,2型糖尿病与结直肠癌风险增加有关。,Diabetes Jenis 2 telah dikaitkan dengan peningkatan risiko kanser kolorektal.,வகை 2 நீரிழிவு பெருங்குடல் புற்றுநோய் ஆபத்து அதிகரிப்புடன் தொடர்புடையது.,Good to hear! A healthy diet and regular exercise help keep your blood sugar and cancer risk in check.,很好！健康饮食和定期运动有助于控制血糖和癌症风险。,Bagus! Diet sihat dan senaman berkala membantu mengawal gula darah dan risiko kanser anda.,நல்லது! ஆரோக்கியமான உணவு மற்றும் வழக்கமான உடற்பயிற்சி உங்கள் இரத்த சர்க்கரை மற்றும் புற்றுநோய் ஆபத்தை கட்டுப்படுத்த உதவுகிறது.
14,I usually choose white bread and white rice over whole-grain options.,我通常选择白面包和白米饭而不是全谷物选项。,Saya biasanya memilih roti putih dan nasi putih berbanding pilihan bijirin penuh.,முழு தானிய விருப்பங்களை விட வெள்ளை ரொட்டி மற்றும் வெள்ளை அரிசியை தேர்வு செய்கிறேன்.,"Whole grains contain more fiber, which is important for colon health.",全谷物含有更多纤维，这对结肠健康很重要。,"Bijirin penuh mengandungi lebih banyak serat, yang penting untuk kesihatan kolon.",முழு தானியங்களில் அதிக நார்ச்சத்து உள்ளது- இது பெருங்குடல் ஆரோக்கியத்திற்கு முக்கியம்.,"Nice! Choosing whole grains gives you more fiber, which supports a healthy digestive system.",好的！选择全谷物可以获取更多纤维，有助于维持健康的消化系统。,"Bagus! Memilih bijirin penuh memberi anda lebih banyak serat, yang menyokong sistem penghadaman yang sihat.","நல்லது! முழு தானியங்களை தேர்ந்தெடுப்பது அதிக நார்ச்சத்து அளிக்கிறது, இது ஆரோக்கியமான செரிமான அமைப்பை ஆதரிக்கிறது."
15,"I often cook my food using high-heat methods like charring, grilling, or barbecuing.",我经常使用高温方法烹饪食物，如烤焦、烧烤或烧烤。,"Saya sering memasak makanan menggunakan kaedah haba tinggi seperti memanggang, membakar, atau barbeku.",அதிக வெப்ப முறைகளான கருக்குதல்- கிரில்லிங் அல்லது பார்பிக்யூ மூலம் உணவு சமைக்கிறேன்.,Some studies suggest high-heat cooking may create chemicals linked to cancer risk.,一些研究表明高温烹饪可能会产生与癌症风险相关的化学物质。,Beberapa kajian mencadangkan memasak dengan haba tinggi mungkin mencipta bahan kimia yang dikaitkan dengan risiko kanser.,சில ஆய்வுகள் அதிக வெப்ப சமையல் புற்றுநோய் ஆபத்துடன் தொடர்புடைய இரசாயனங்களை உருவாக்கலாம் என்று கூறுகின்றன.,Good! Using gentler cooking methods like steaming or stewing helps reduce exposure to harmful chemicals.,好的！使用蒸煮或炖煮等温和的烹饪方法有助于减少有害化学物质的接触。,Bagus! Menggunakan kaedah memasak yang lebih lembut seperti mengukus atau merebus membantu mengurangkan pendedahan kepada bahan kimia berbahaya.,நல்லது! ஆவியில் வேகவைத்தல் அல்லது கொதிக்கவைத்தல் போன்ற மென்மையான சமையல் முறைகள் தீங்கு விளைவிக்கும் இரசாயனங்களுக்கான வெளிப்பாட்டை குறைக்க உதவுகின்றன.
16,"I am under 45, and I have *never* discussed my personal CRC risk with a doctor.",我不到45岁，而且从未与医生讨论过我个人的CRC风险。,Saya berumur bawah 45 tahun dan *tidak pernah* membincangkan risiko CRC peribadi saya dengan doktor.,நான் 45 வயதுக்கு கீழ் இருக்கிறேன் மற்றும் என் தனிப்பட்ட CRC ஆபத்தை மருத்துவரிடம் ஒருபோதும் விவாதிக்கவில்லை.,"It's never too early to know your risk, especially if you have a family history.",了解您的风险永远不会太早，特别是如果您有家族史。,"Tidak pernah terlalu awal untuk mengetahui risiko anda, terutamanya jika anda mempunyai sejarah keluarga.",உங்கள் ஆபத்தை அறிய எப்போதும் தாமதமில்லை- குறிப்பாக குடும்ப வரலாறு இருந்தால்.,Great that you've spoken with your doctor! Regular discussions about your health help with early prevention.,已经和医生讨论了，很好！定期讨论您的健康有助于早期预防。,Bagus kerana anda telah berbincang dengan doktor! Perbincangan berkala tentang kesihatan anda membantu pencegahan awal.,மருத்துவரிடம் விவாதித்ததற்கு நல்லது! உங்கள் ஆரோக்கியம் பற்றிய வழக்கமான விவாதங்கள் ஆரம்ப தடுப்புக்கு உதவுகின்றன.
17,I feel a lump on my breast.,我在乳房上感觉到一个肿块。,Saya rasa ketulan pada payudara saya.,என் மார்பில் கட்டி உணர்கிறேன்.,"Most breast lumps are not cancerous, but any new lump should be checked by a doctor as soon as possible.",大多数乳房肿块不是癌症，但任何新肿块都应尽快由医生检查。,"Kebanyakan ketulan payudara bukan kanser, tetapi sebarang ketulan baru perlu diperiksa oleh doktor secepat mungkin.","பெரும்பாலான மார்பக கட்டிகள் புற்றுநோய் அல்ல, ஆனால் எந்த புதிய கட்டியும் கூடிய விரைவில் மருத்துவரால் பரிசோதிக்கப்பட வேண்டும்.",Good! Regular breast self-exams help you notice changes early. Check monthly after your period.,很好！定期乳房自我检查有助于及早发现变化。建议每月经期后检查一次。,Bagus! Pemeriksaan sendiri payudara secara berkala membantu anda mengesan perubahan awal. Periksa setiap bulan selepas haid.,நல்லது! வழக்கமான மார்பக சுய பரிசோதனை மாற்றங்களை ஆரம்பத்தில் கவனிக்க உதவுகிறது. மாதவிடாய்க்குப் பின் மாதந்தோறும் பரிசோதிக்கவும்.
18,I have been coughing blood.,我一直在咳血。,Saya telah batuk darah.,இரத்தம் இருமுகிறேன்.,Coughing up blood (haemoptysis) is a serious warning sign. Please see a doctor immediately for evaluation.,咯血是一个严重的警告信号。请立即就医进行评估。,Batuk darah (hemoptisis) adalah tanda amaran serius. Sila jumpa doktor dengan segera untuk penilaian.,இரத்தம் இருமுதல் (ஹீமாப்டிசிஸ்) ஒரு தீவிர எச்சரிக்கை அறிகுறி. உடனடியாக மருத்துவரை சந்தித்து மதிப்பீடு செய்யுங்கள்.,"Good! If you ever cough up blood, seek medical attention right away as it can indicate a serious condition.",很好！如果您曾咯血，请立即就医，因为这可能表明严重的健康问题。,"Bagus! Jika anda pernah batuk darah, dapatkan rawatan perubatan segera kerana ia boleh menunjukkan keadaan serius.","நல்லது! நீங்கள் இரத்தம் இருமினால், உடனடியாக மருத்துவ உதவி பெறுங்கள், ஏனெனில் இது தீவிர நிலையை குறிக்கலாம்."
19,I am having breathing difficulty.,我呼吸困难。,Saya mengalami kesukaran bernafas.,சுவாசிக்க சிரமப்படுகிறேன்.,Persistent breathing difficulty should be evaluated by a doctor. It may signal lung or heart conditions.,持续的呼吸困难应由医生评估。这可能是肺部或心脏问题的信号。,Kesukaran bernafas yang berterusan perlu dinilai oleh doktor. Ia mungkin menandakan masalah paru-paru atau jantung.,தொடர்ச்சியான சுவாச சிரமம் மருத்துவரால் மதிப்பீடு செய்யப்பட வேண்டும். இது நுரையீரல் அல்லது இதய நிலைகளை குறிக்கலாம்.,Great! Keep your lungs healthy by staying smoke-free and exercising regularly.,很好！通过不吸烟和定期运动来保持肺部健康。,Bagus! Kekalkan paru-paru anda sihat dengan kekal bebas rokok dan bersenam secara kerap.,நல்லது! புகைபிடிக்காமல் இருந்து வழக்கமாக உடற்பயிற்சி செய்து உங்கள் நுரையீரலை ஆரோக்கியமாக வைத்திருங்கள்.
20,I have family members who smoke at home.,我家里有吸烟的家庭成员。,Saya mempunyai ahli keluarga yang merokok di rumah.,வீட்டில் புகைபிடிக்கும் குடும்ப உறுப்பினர்கள் உள்ளனர்.,Secondhand smoke increases risk for non-smokers by 20-30% for lung cancer.,二手烟使非吸烟者患肺癌的风险增加20-30%。,Asap rokok terpakai meningkatkan risiko bukan perokok sebanyak 20-30% untuk kanser paru-paru.,இரண்டாம் நிலை புகை புகைபிடிக்காதவர்களுக்கு நுரையீரல் புற்றுநோய் ஆபத்தை 20-30% அதிகரிக்கிறது.,Good! A smoke-free home environment significantly reduces everyone's lung cancer risk.,很好！无烟家庭环境可以显著降低每个人的肺癌风险。,Bagus! Persekitaran rumah tanpa asap rokok mengurangkan risiko kanser paru-paru semua orang dengan ketara.,நல்லது! புகையில்லா வீட்டு சூழல் அனைவரின் நுரையீரல் புற்றுநோய் ஆபத்தையும் கணிசமாக குறைக்கிறது.
21,My mother/sister have breast cancer.,我的母亲/姐妹患有乳腺癌。,Ibu/kakak saya menghidap kanser payudara.,என் தாய்/சகோதரிக்கு மார்பக புற்றுநோய் உள்ளது.,"Having a mother, sister, or daughter with breast cancer raises your risk.",母亲、姐妹或女儿患乳腺癌会增加您的风险。,"Mempunyai ibu, kakak, atau anak perempuan dengan kanser payudara meningkatkan risiko anda.",தாய்- சகோதரி அல்லது மகளுக்கு மார்பக புற்றுநோய் இருப்பது உங்கள் ஆபத்தை அதிகரிக்கிறது.,"Good to know! Even without family history, regular breast screening is still recommended from age 40.",很好！即使没有家族史，仍然建议从40岁开始定期乳房筛查。,"Bagus! Walaupun tanpa sejarah keluarga, saringan payudara berkala masih disyorkan dari umur 40 tahun.","நல்லது! குடும்ப வரலாறு இல்லாவிட்டாலும், 40 வயதிலிருந்து வழக்கமான மார்பக பரிசோதனை பரிந்துரைக்கப்படுகிறது."
22,I am over 50 years old and have not been to any check up.,我已经50岁以上，还没有进行任何检查。,Saya berumur lebih 50 tahun dan belum pergi ke sebarang pemeriksaan.,நான் 50 வயதுக்கு மேல் இருக்கிறேன் மற்றும் எந்த பரிசோதனையும் செய்யவில்லை.,Regular health screenings are crucial after 50. Singapore's Screen for Life programme offers subsidised screenings.,50岁后定期健康检查至关重要。新加坡的Screen for Life计划提供补贴筛查。,Saringan kesihatan berkala adalah penting selepas 50 tahun. Program Screen for Life Singapura menawarkan saringan bersubsidi.,50 வயதுக்கு மேல் வழக்கமான சுகாதார பரிசோதனைகள் முக்கியம். சிங்கப்பூரின் Screen for Life திட்டம் மானியப் பரிசோதனைகளை வழங்குகிறது.,Great that you keep up with check-ups! Regular screenings help catch health issues early when they're most treatable.,坚持定期检查，做得好！定期筛查有助于在最容易治疗时及早发现健康问题。,Bagus kerana anda menjaga pemeriksaan berkala! Saringan berkala membantu mengesan masalah kesihatan awal apabila ia paling mudah dirawat.,பரிசோதனைகளை தொடர்வது நல்லது! வழக்கமான பரிசோதனைகள் சிகிச்சையளிக்க எளிதான நேரத்தில் ஆரோக்கிய பிரச்சினைகளை ஆரம்பத்தில் கண்டறிய உதவுகின்றன.
23,Have you ever been diagnosed with an HPV infection or genital warts?,您是否曾被诊断出HPV感染或生殖器疣？,Pernahkah anda didiagnosis dengan jangkitan HPV atau ketuat kelamin?,HPV தொற்று அல்லது பிறப்புறுப்பு மருக்கள் இருப்பதாக கண்டறியப்பட்டதா?,"Infection by the HPV is the most important risk factor for cervical cancer. At least 15 of the HPV strains causes cervical cancer. It is a skin infection, spread through skin-to-skin contact",HPV感染是宫颈癌最重要的风险因素。至少有15种HPV菌株会导致宫颈癌。这是一种皮肤感染，通过皮肤接触传播,"Jangkitan HPV adalah faktor risiko paling penting untuk kanser serviks. Sekurang-kurangnya 15 strain HPV menyebabkan kanser serviks. Ia adalah jangkitan kulit, disebarkan melalui sentuhan kulit ke kulit",HPV தொற்று கர்ப்பப்பை வாய் புற்றுநோய்க்கான மிக முக்கியமான ஆபத்து காரணி. குறைந்தது 15 HPV வகைகள் கர்ப்பப்பை வாய் புற்றுநோயை ஏற்படுத்துகின்றன. இது தோல் தொற்று- தோலிலிருந்து தோலுக்கு தொடர்பு மூலம் பரவுகிறது,Good! The HPV vaccine is available in Singapore and offers strong protection against cervical cancer.,很好！HPV疫苗在新加坡可接种，能有效预防宫颈癌。,Bagus! Vaksin HPV tersedia di Singapura dan memberi perlindungan kuat terhadap kanser serviks.,நல்லது! HPV தடுப்பூசி சிங்கப்பூரில் கிடைக்கிறது மற்றும் கர்ப்பப்பை வாய் புற்றுநோய்க்கு எதிராக வலுவான பாதுகாப்பு அளிக்கிறது.
24,I am a current smoker.,我目前是吸烟者。,Saya seorang perokok semasa.,நான் தற்போது புகைபிடிப்பவன்.,Smoking increases the risk of having lung cancer.,吸烟会增加患肺癌的风险。,Merokok meningkatkan risiko menghidap kanser paru-paru.,புகைபிடித்தல் நுரையீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,Excellent! Staying smoke-free is the best way to protect your lungs. Avoid secondhand smoke too.,太好了！不吸烟是保护肺部的最佳方法。也要避免二手烟。,Bagus! Kekal bebas rokok adalah cara terbaik untuk melindungi paru-paru anda. Elakkan asap rokok terpakai juga.,மிகச்சிறப்பு! புகைபிடிக்காமல் இருப்பது உங்கள் நுரையீரலை பாதுகாக்க சிறந்த வழி. இரண்டாம் நிலை புகையையும் தவிர்க்கவும்.
