id,prompt_en,prompt_zh,prompt_ms,prompt_ta,weight,yesValue,noValue,category,explanationYes_en,explanationYes_zh,explanationYes_ms,explanationYes_ta,explanationNo_en,explanationNo_zh,explanationNo_ms,explanationNo_ta,cancerType,minAge
23,Have you ever been diagnosed with an HPV infection or genital warts?,您是否曾被诊断出HPV感染或生殖器疣？,Pernahkah anda didiagnosis dengan jangkitan HPV atau ketuat kelamin?,HPV தொற்று அல்லது பிறப்புறுப்பு மருக்கள் இருப்பதாக கண்டறியப்பட்டதா?,100,100,10,Lifestyle,"Infection by the HPV is the most important risk factor for cervical cancer. At least 15 of the HPV strains causes cervical cancer. It is a skin infection, spread through skin-to-skin contact",HPV感染是宫颈癌最重要的风险因素。至少有15种HPV菌株会导致宫颈癌。这是一种皮肤感染，通过皮肤接触传播,"Jangkitan HPV adalah faktor risiko paling penting untuk kanser serviks. Sekurang-kurangnya 15 strain HPV menyebabkan kanser serviks. Ia adalah jangkitan kulit, disebarkan melalui sentuhan kulit ke kulit",HPV தொற்று கர்ப்பப்பை வாய் புற்றுநோய்க்கான மிக முக்கியமான ஆபத்து காரணி. குறைந்தது 15 HPV வகைகள் கர்ப்பப்பை வாய் புற்றுநோயை ஏற்படுத்துகின்றன. இது தோல் தொற்று- தோலிலிருந்து தோலுக்கு தொடர்பு மூலம் பரவுகிறது,,,,,cervical,
24,I am a current smoker.,我目前是吸烟者。,Saya seorang perokok semasa.,நான் தற்போது புகைபிடிப்பவன்.,14.81,100,0,Lifestyle,Smoking increases the risk of having lung cancer.,吸烟会增加患肺癌的风险。,Merokok meningkatkan risiko menghidap kanser paru-paru.,புகைபிடித்தல் நுரையீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,,,,,Lung,
25,I drink alcohol everyday.,我每天喝酒。,Saya minum alkohol setiap hari.,நான் தினமும் மது அருந்துகிறேன்.,100,100,0,Diet & Nutrition,"Drinking alcohol increases liver cancer risk primarily because the liver converts ethanol into acetaldehyde, a toxic chemical that damages DNA and proteins, while also causing oxidative stress, inflammation, and scarring (cirrhosis), creating an environment ripe for cancerous cell changes.",饮酒会增加肝癌风险，主要是因为肝脏将乙醇转化为乙醛，这是一种有毒化学物质，会损害DNA和蛋白质，同时还会引起氧化应激、炎症和疤痕（肝硬化），为癌细胞变化创造成熟的环境。,"Minum alkohol meningkatkan risiko kanser hati terutamanya kerana hati menukar etanol kepada asetaldehid, bahan kimia toksik yang merosakkan DNA dan protein, sambil juga menyebabkan tekanan oksidatif, keradangan, dan parut (sirosis), mewujudkan persekitaran yang sesuai untuk perubahan sel kanser.",மது அருந்துவது கல்லீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது- முக்கியமாக கல்லீரல் எத்தனாலை அசிடால்டிஹைடாக மாற்றுவதால்- இது DNA மற்றும் புரதங்களை சேதப்படுத்தும் நச்சு இரசாயனம்- ஆக்சிஜனேற்ற அழுத்தம்- வீக்கம் மற்றும் தழும்பு (சிரோசிஸ்) ஏற்படுத்துகிறது.,,,,,liver,
26,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
27,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
28,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
29,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
30,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
31,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
32,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
33,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
34,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
35,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
36,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
37,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
38,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
39,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
40,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
41,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
42,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
43,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
44,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
45,Test single question,,,,5,100,0,Lifestyle,,,,,,,,,colorectal,
